ï»¿eventID,type,basisOfRecord,occurrenceID,recordedBy,individualCount,summaryIndividualCount,sex,lifestage,occurrenceStatus,samplingProtocol,identifiedBy,scientificName,kingdom,phylum,class,taxonRank,scientificNameAuthorship,vernacularName
INBO:NBN:BFN00179000037BC,Event,HumanObservation,INBO:NBN:BFN001790000A5KV,BFN001790000055P | BFN001790000058N,1,"""Adult Man"":1","{""male"":1}","{""adult"":1}",present,casual observation,BFN001790000055P,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN00179000038AB,Event,HumanObservation,INBO:NBN:BFN001790000A86T,BFN001790000058V | BFN001790000055P | BFN00179000004PO,2,"""Adult Vrouw"":1, ""Adult Man"":1","{""female"":1, ""male"":1}","{""adult"":1, ""adult"":1}",present,casual observation,BFN001790000055P,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN00179000038AK,Event,HumanObservation,INBO:NBN:BFN001790000A86Z,BFN00179000004PN | BFN001790000055P,1,"""Adult Vrouw"":1","{""female"":1}","{""adult"":1}",present,culling - shooting,BFN001790000055P,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN0017900002O5G,Event,HumanObservation,INBO:NBN:BFN0017900009856,BFN00179000004PP,1,"""Adult Man"":1","{""male"":1}","{""adult"":1}",present,casual observation,BFN00179000004PP,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN0017900002O50,Event,HumanObservation,INBO:NBN:BFN001790000984T,BFN00179000002AG,1,"""Adult Vrouw"":1","{""female"":1}","{""adult"":1}",present,culling - shooting,BFN001790000004L,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN0017900002O55,Event,HumanObservation,INBO:NBN:BFN001790000984Y,BFN00179000002AG,5,"""Juveniel"":5",NULL,"{""juvenile"":5}",present,casual observation,BFN001790000004L,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN0017900002OH0,Event,HumanObservation,INBO:NBN:BFN001790000993P,BFN001790000005G,1,"""Adult Man"":1","{""male"":1}","{""adult"":1}",present,culling - shooting,BFN001790000005G,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN0017900002OH9,Event,HumanObservation,INBO:NBN:BFN001790000993T,BFN001790000005G,5,"""Pulli"":4, ""Adult Vrouw"":1","{""female"":1}","{""pulli"":4, ""adult"":1}",present,culling - shooting,BFN001790000005G,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN0017900002XEB,Event,HumanObservation,INBO:NBN:BFN0017900009PEO,BFN00179000002AF | BFN001790000055R,1,"""Adult Man"":1","{""male"":1}","{""adult"":1}",present,casual observation,BFN00179000002AF,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN0017900002XFH,Event,HumanObservation,INBO:NBN:BFN0017900009PKB,BFN00179000002AF | BFN0017900000562,1,"""Adult Man"":1","{""male"":1}","{""adult"":1}",present,casual observation,BFN00179000002AF,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN0017900002O5A,Event,HumanObservation,INBO:NBN:BFN0017900009852,BFN00179000004PP,2,"""Adult Man"":1, ""Adult Vrouw"":1","{""male"":1, ""female"":1}","{""adult"":1, ""adult"":1}",present,culling - shooting,BFN001790000004L,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN0017900002O58,Event,HumanObservation,INBO:NBN:BFN0017900009850,BFN00179000002AG,1,"""Adult Vrouw"":1","{""female"":1}","{""adult"":1}",present,casual observation,BFN001790000004L,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
